place,place_short,placeLabel,location,osm,gnd,topostext,pleiades,oclc,getty,dare,arachne,archinform,mibact,iccd,iccdcf,geonames,inception,wikimedia,wikipedia
http://www.wikidata.org/entity/Q56252104,Q56252104,Palazzo Guglielmi Chiablese,Point(12.477305555 41.894472222),,,,,,,,,,,,,,,Palazzo Guglielmi Chiablese,https://it.wikipedia.org/wiki/Palazzo_Guglielmi_Chiablese
http://www.wikidata.org/entity/Q56256238,Q56256238,Area archeologica di via delle Botteghe Oscure,Point(12.4769 41.8953),,,419125BPMi,,,,,,,,,,,,Porticus Minucia,https://it.wikipedia.org/wiki/Porticus_Minucia
http://www.wikidata.org/entity/Q56638128,Q56638128,Palazzo Castellani,Point(12.483694 41.900889),,,,,,,,,,,,,,,Palazzo Castellani (Rome),https://it.wikipedia.org/wiki/Palazzo_Castellani_(Roma)
http://www.wikidata.org/entity/Q56650659,Q56650659,Palazzo Sciarra Colonna di Carbognano,Point(12.48119444 41.89961111),1764095,,,,,,,,,,,,,,Palazzo Sciarra Colonna di Carbognano (Rome),https://it.wikipedia.org/wiki/Palazzo_Sciarra_Colonna_di_Carbognano
http://www.wikidata.org/entity/Q56686044,Q56686044,Collegio dei Bergamaschi,Point(12.479913 41.900171),,,,,,,,,,,,,,,Collegio dei Bergamaschi,https://it.wikipedia.org/wiki/Collegio_dei_Bergamaschi
http://www.wikidata.org/entity/Q56695227,Q56695227,Palazzi Bernini,Point(12.482972 41.903667),,,,,,,,,,,,,,,Palazzi Bernini (Rome),https://it.wikipedia.org/wiki/Palazzi_Bernini
http://www.wikidata.org/entity/Q56705912,Q56705912,palazzo Bocconi,Point(12.4802405 41.9017075),,,,,,,,,,,,,,,Palazzo La Rinascente 1920 (Rome),https://it.wikipedia.org/wiki/Palazzo_Bocconi
http://www.wikidata.org/entity/Q56706499,Q56706499,Palazzo Marignoli,Point(12.4805 41.902333333),,,,,,,,,,,,,,1883-01-01T00:00:00Z,Palazzo Marignoli (Rome),https://it.wikipedia.org/wiki/Palazzo_Marignoli
http://www.wikidata.org/entity/Q56732950,Q56732950,Palazzo delle Poste in Piazza di San Silvestro,Point(12.481111 41.903028),,,,,,,,,,,,,,,Roma San Silvestro post office,https://it.wikipedia.org/wiki/Palazzo_delle_Poste_a_Piazza_di_San_Silvestro
http://www.wikidata.org/entity/Q56879588,Q56879588,Palazzo dell'Ex Unione Militare,Point(12.47852778 41.90486111),,,,,,,,,,,,,,,Unione Militare Palace (Rome),https://it.wikipedia.org/wiki/Palazzo_dell%27ex_Unione_Militare
http://www.wikidata.org/entity/Q58056197,Q58056197,Palazzo Lavaggi Pacelli,Point(12.47598926 41.89616257),,,,,,,,,,,,,,,"Hotel Tiziano, Rome",https://it.wikipedia.org/wiki/Palazzo_Lavaggi_Pacelli
http://www.wikidata.org/entity/Q58241802,Q58241802,Casa di Stefano Porcari,Point(12.47775 41.897111),,,,,,,,,,,,,,,Casa di Stefano Porcari,https://it.wikipedia.org/wiki/Casa_di_Stefano_Porcari
http://www.wikidata.org/entity/Q58331534,Q58331534,Palazzo delle Assicurazioni Generali (Roma),Point(12.482944 41.896333),,4458970-0,,,,,,,,,,,,,Assicurazioni Generali Palace (Rome),https://it.wikipedia.org/wiki/Palazzo_delle_Assicurazioni_Generali_(Roma)
http://www.wikidata.org/entity/Q60429961,Q60429961,Palazzo della Calcografia,Point(12.483417 41.9015),,,,,,,,,,,,,,,Palazzo della Calcografia Nazionale,https://it.wikipedia.org/wiki/Palazzo_della_Calcografia
http://www.wikidata.org/entity/Q60839683,Q60839683,Orfanotrofio di Santa Maria in Aquiro e Collegio Salviati,Point(12.478527777 41.900027777),,,,,,,,,,,,,,,,https://it.wikipedia.org/wiki/Orfanotrofio_di_Santa_Maria_in_Aquiro_e_Collegio_Salviati
http://www.wikidata.org/entity/Q60840884,Q60840884,Piazza di Pietra,Point(12.479361111 41.900025),,,,,,,,,,,,,,,,https://it.wikipedia.org/wiki/Piazza_di_Pietra
http://www.wikidata.org/entity/Q60840978,Q60840978,Torre del Papito,Point(12.477204 41.89498495),,,,327838685,,,,,,,,,,,Torre del Papito,https://it.wikipedia.org/wiki/Torre_del_Papito
http://www.wikidata.org/entity/Q63526428,Q63526428,Colombario di Scribonio Menofilo,Point(12.4839 41.894738888),,,,,,,,2108243,,,,,,,,https://it.wikipedia.org/wiki/Colombario_di_Scribonio_Menofilo
http://www.wikidata.org/entity/Q63759614,Q63759614,Statua equestre di Vittorio Emanuele II del Vittoriano,Point(12.482994444 41.894755555),,,,,,,,,,,,,,1900-01-01T00:00:00Z,"Equestrian statue of Victor Emmanuel II, Vittoriano (Rome)",https://it.wikipedia.org/wiki/Statua_equestre_di_Vittorio_Emanuele_II_del_Vittoriano
http://www.wikidata.org/entity/Q77952942,Q77952942,Biblioteca del Pontificio Istituto Biblico,Point(12.4834509 41.8988192),,,,,,,,,,,,,,1909-05-07T00:00:00Z,,https://it.wikipedia.org/wiki/Biblioteca_del_Pontificio_Istituto_Biblico
http://www.wikidata.org/entity/Q85634695,Q85634695,Sala Lancisiana di San Giacomo in Augusta,Point(12.47612 41.90795),,,,,,,,,,,,,,1593-01-01T00:00:00Z,,https://it.wikipedia.org/wiki/Sala_Lancisiana
http://www.wikidata.org/entity/Q86664068,Q86664068,Organo della basilica di Sant'Eustachio a Roma,Point(12.475756388 41.898490555),,,,,,,,,,,,,,,,https://it.wikipedia.org/wiki/Organo_della_basilica_di_Sant%27Eustachio_a_Roma
http://www.wikidata.org/entity/Q104761703,Q104761703,Fontana dell'Organo,Point(12.48575427 41.90069339),,,,,,,,,,,,,,,Fontana dell'Organo (Rome),https://it.wikipedia.org/wiki/Fontana_dell%27Organo
http://www.wikidata.org/entity/Q105989516,Q105989516,Monumento a Cola di Rienzo,Point(12.482324 41.893721),,,,,,,,,,,,,,1871-01-01T00:00:00Z,Monument to Cola di Rienzo (Rome),https://it.wikipedia.org/wiki/Monumento_a_Cola_di_Rienzo
http://www.wikidata.org/entity/Q129169,Q129169,Q129169,Point(12.48483333 41.90066667),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q615542,Q615542,Pontificio collegio croato di San Girolamo,Point(12.477823 41.904742),,,,,,,,,,,,,,1901-08-01T00:00:00Z,,
http://www.wikidata.org/entity/Q615542,Q615542,Pontificio collegio croato di San Girolamo,Point(12.477823 41.904742),,,,,,,,,,,,,,1453-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q848072,Q848072,Scalinata di Trinità dei Monti,Point(12.48278 41.90611),,4260130-7,,,,,,,4525,,,,6619447,1725-01-01T00:00:00Z,Trinità dei Monti (Rome) - Scalinata,
http://www.wikidata.org/entity/Q1954260,Q1954260,Q1954260,Point(12.484822 41.90078),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q2109010,Q2109010,Q2109010,Point(12.480583333 41.897611111),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q2197345,Q2197345,via del Plebiscito,Point(12.48166 41.89653),,,,,,,,,,,,,,,Via del Plebiscito (Rome),
http://www.wikidata.org/entity/Q2409612,Q2409612,Q2409612,Point(12.4768 41.8986),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q2868686,Q2868686,Q2868686,Point(12.48301 41.893389),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q2873434,Q2873434,Q2873434,Point(12.48 41.8975),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q2879950,Q2879950,Q2879950,Point(12.479095 41.895074),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q2901311,Q2901311,Q2901311,Point(12.4844 41.8957),,,,,,,,,,,,,,,Biblioteca Ulpia,
http://www.wikidata.org/entity/Q2901410,Q2901410,Q2901410,Point(12.4772 41.8984),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q4009607,Q4009607,Venezia,Point(12.482778 41.895528),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q4329991,Q4329991,Osservatorio del Collegio Romano,Point(12.48044722 41.89783611),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q4802565,Q4802565,Q4802565,Point(12.48333333 41.89388889),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q2932918,Q2932918,Caffè Sant'Eustachio,Point(12.475277777 41.898333333),,,,,,,,,,,,,,1938-01-01T00:00:00Z,Caffè Sant'Eustachio,
http://www.wikidata.org/entity/Q2983439,Q2983439,Q2983439,Point(12.4834 41.8942),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q3747367,Q3747367,fontana del Trullo,Point(12.47475 41.90315),,,,,,,,,,,,,,,Fontana del Trullo (Rome),
http://www.wikidata.org/entity/Q5465137,Q5465137,Fontana del Nettuno,Point(12.475515 41.910509),,,,,,,,,,,,,,1821-01-01T00:00:00Z,Piazza del Popolo (Rome) - Fontana del Nettuno,
http://www.wikidata.org/entity/Q5563355,Q5563355,Q5563355,Point(12.47733 41.90107),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q6488938,Q6488938,Q6488938,Point(12.4767898 41.894948),,,419125SLPe,593462325,,,,2103627,,,,,,,Sacred area in Largo di Torre Argentina - Temple D,
http://www.wikidata.org/entity/Q9054484,Q9054484,Palazzo di Spagna,Point(12.482629 41.904994),,,,,,,,,,,,,,,Palazzo di Spagna,
http://www.wikidata.org/entity/Q9149570,Q9149570,Q9149570,Point(12.4792 41.8939),,,,,,,,,,,,,,,Embassy of Poland to the Holy See,
http://www.wikidata.org/entity/Q9170849,Q9170849,Q9170849,Point(12.4814 41.8972),,,,,,,,,,,,,,1927-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q12885104,Q12885104,Q12885104,Point(12.477 41.89955556),,,,,,,,,,,,,,,Albergo del Sole al Pantheon (Rome),
http://www.wikidata.org/entity/Q15150081,Q15150081,Q15150081,Point(12.480905 41.902181),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q15181138,Q15181138,Q15181138,Point(12.48352778 41.90361111),,,,,,,,,,,,,,1667-01-01T00:00:00Z,Angel with the Superscription (Bernini),
http://www.wikidata.org/entity/Q15787987,Q15787987,Q15787987,Point(12.477567 41.897977),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q16060284,Q16060284,Q16060284,Point(12.479444444 41.895833333),,,,,,,,,,,,,,1621-01-01T00:00:00Z,Bust of Cardinal Roberto Bellarmine by Gian Lorenzo Bernini,
http://www.wikidata.org/entity/Q17001919,Q17001919,Q17001919,Point(12.476656 41.911503),,,,,,,,,,,,,,,Santa Maria del Popolo (Rome) - Cappella Cybo,
http://www.wikidata.org/entity/Q17009959,Q17009959,Q17009959,Point(12.476389 41.911389),,,,,,,,,,,,,,1628-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q17011413,Q17011413,Q17011413,Point(12.476389 41.911389),,,,,,,,,,,,,,,Santa Maria del Popolo (Rome) - Cappella Montemirabile,
http://www.wikidata.org/entity/Q17512474,Q17512474,Q17512474,Point(12.476389 41.911389),,,,,,,,,,,,,,1636-01-01T00:00:00Z,Santa Maria del Popolo (Rome) - Cappella Cybo-Soderini,
http://www.wikidata.org/entity/Q17637957,Q17637957,Palazzo Cavalletti,Point(12.47933333 41.89355556),,,,,,,,,,,,,,,Palazzo Cavalletti,
http://www.wikidata.org/entity/Q18350121,Q18350121,Hotel d'Inghilterra,Point(12.480799804 41.904689345),,,,,,,,,,,,,,1845-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q18612719,Q18612719,Q18612719,Point(12.4837 41.9016),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q19611775,Q19611775,Q19611775,Point(12.483513987 41.90241945),,,,,,,,,,,,,,2007-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q19631546,Q19631546,San Nicola in Arcione,Point(12.485888888 41.902333333),,,,,,,,,,,,,,,San Nicola in Arcione,
http://www.wikidata.org/entity/Q19721395,Q19721395,Q19721395,Point(12.4785 41.9074),,5173111-3,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q19798857,Q19798857,Polo Museale del Lazio,Point(12.4815694 41.8961806),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q21509880,Q21509880,giardini della Villa Medici,Point(12.4824 41.9092),,,,,,,,,,,,,,,Villa Medici (Rome) - Gardens,
http://www.wikidata.org/entity/Q22692420,Q22692420,Istituto Nazionale di Archeologia e Storia dell’Arte (INASA),Point(12.4794838 41.8961699),,1020316-3,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q23011493,Q23011493,Goffredo Mameli ritratto dal vivo,Point(12.48425 41.893752777),,,,,,,,,,,,,,1849-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q23073978,Q23073978,Q23073978,Point(12.48305556 41.89944444),,,,,,,,,,,,,,1953-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q23646277,Q23646277,Q23646277,Point(12.48533333 41.90575),,,,,,,,,,,,,,,Villa Malta (Rome),
http://www.wikidata.org/entity/Q25396513,Q25396513,Q25396513,Point(12.483585 41.893623),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q25419337,Q25419337,Q25419337,Point(12.48083333 41.89638889),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q25419839,Q25419839,Q25419839,Point(12.48138889 41.90736111),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q25419914,Q25419914,Q25419914,Point(12.476972 41.894444),,,,,,,,,,,,,,,Santi Sebastiano e Valentino,
http://www.wikidata.org/entity/Q25419914,Q25419914,Q25419914,Point(12.476917 41.894389),,,,,,,,,,,,,,,Santi Sebastiano e Valentino,
http://www.wikidata.org/entity/Q26256758,Q26256758,Q26256758,Point(12.485194 41.9005),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q26256801,Q26256801,Q26256801,Point(12.482194 41.903528),,,,,,,,,,,,,,,San Giovanni in Capite,
http://www.wikidata.org/entity/Q30271467,Q30271467,Q30271467,Point(12.481833 41.898081),,,,,,,,,,,,,,2006-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q30279579,Q30279579,Q30279579,Point(12.485863 41.902832),,,,,,,,,,,,,,2001-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q30285091,Q30285091,Q30285091,Point(12.476124 41.909367),,,,,,,,,,,,,,1987-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q30290323,Q30290323,Istituto Sperimentale per la Valorizzazione Tecnologica dei Prodotti Agricoli,Point(12.484767 41.910481),,,,,,,,,,,,,,1967-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q30294637,Q30294637,Q30294637,Point(12.475359 41.899311),,,,,,,,,,,,,,1975-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q30295563,Q30295563,Q30295563,Point(12.475922 41.900031),,,,,,,,,,,,,,2001-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q30593994,Q30593994,Q30593994,Point(12.481111111 41.898055555),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q31197971,Q31197971,Q31197971,Point(12.477415 41.902194),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q31889764,Q31889764,Q31889764,Point(12.479722 41.902889),,,,,,,,,,,,,,,Madonna della Carità del Letterato,
http://www.wikidata.org/entity/Q31889764,Q31889764,Q31889764,Point(12.479722 41.902806),,,,,,,,,,,,,,,Madonna della Carità del Letterato,
http://www.wikidata.org/entity/Q37000399,Q37000399,Cinema Imperiale,Point(12.4798011 41.9043666),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q37000453,Q37000453,Cinema Metropolitan,Point(12.4768134 41.9095871),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q37000496,Q37000496,Cinema Nuovo Olimpia,Point(12.4789173 41.902848),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q37000537,Q37000537,Cinema Sala Trevi - Alberto Sordi,Point(12.484188 41.9004374),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q37000676,Q37000676,Spazio Etoile,Point(12.4779059 41.9036597),,7643899-5,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q45730389,Q45730389,Santa Maria dei Miracoli e Santa Maria in Montesanto,Point(12.476722 41.909722),,,,,,,,,,,,,,,Santa Maria dei Miracoli e Santa Maria in Montesanto (Rome),
http://www.wikidata.org/entity/Q48773846,Q48773846,Spelacchio,Point(12.483055555 41.894583333),,,,,,,,,,,,,,,Spelacchio,
http://www.wikidata.org/entity/Q49139312,Q49139312,Q49139312,Point(12.482111 41.894972),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q50039992,Q50039992,Consorzio Interuniversitario Nazionale per la Fisica delle Atmosfere e delle Idrosfere,Point(12.476146 41.904145),,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q50379463,Q50379463,Istituto Superiore per le Industrie Artistiche,Point(12.476721 41.900134),,,,,,,,,,,,,,1965-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q52348026,Q52348026,Q52348026,Point(12.48318 41.90883),,,,,,,,,,,,,,,Obelisk in Villa Medici gardens (Rome),
http://www.wikidata.org/entity/Q53673171,Q53673171,Palazzo Doria Pamphili,Point(12.48162 41.897997),,,,,,,,,,,,1467300211808,,,,
http://www.wikidata.org/entity/Q53673191,Q53673191,chiesa di S. Maria in Trivio,Point(12.482743 41.901028),,,,,,,,,,,,1467305794326,,,,
http://www.wikidata.org/entity/Q53673189,Q53673189,convento  di Santa Maria in Trivio,Point(12.482743 41.901028),,,,,,,,,,,,1467305753422,,,,
http://www.wikidata.org/entity/Q53673195,Q53673195,chiesa di Gesù e Maria,Point(12.477445 41.9081),,,,,,,,,,,,1467306368023,,,,
http://www.wikidata.org/entity/Q53673211,Q53673211,chiesa di S. Maria di Loreto,Point(12.483517 41.895911),,,,,,,,,,,,1467313037419,,,,
http://www.wikidata.org/entity/Q53673216,Q53673216,chiesa del SS. Nome di Gesù all'Argentina,Point(12.479155 41.895652),,,,,,,,,,,,1467314044036,,,,
http://www.wikidata.org/entity/Q53673226,Q53673226,chiesa di S. Giacomo in Augusta,Point(12.477429 41.908136),,,,,,,,,,,,1467323915936,,,,
http://www.wikidata.org/entity/Q54087690,Q54087690,chiesa di S. Caterina dei Funari,Point(12.478478 41.893785),,,,,,,,,,,,1467354226324,,,,
http://www.wikidata.org/entity/Q54860395,Q54860395,chiesa di Santa Maria Maddalena,Point(12.476526 41.900082),,,,,,,,,,,,1467348349083,,,,
http://www.wikidata.org/entity/Q54860431,Q54860431,chiesa di Gesù Nazareno all'Argentina,Point(12.475614 41.8952),,,,,,,,,,,,1467349879812,,,,
http://www.wikidata.org/entity/Q54860495,Q54860495,Palazzo Patrizi Clementi,Point(12.479248 41.89363),,,,,,,,,,,,1467353693710,,,,
http://www.wikidata.org/entity/Q54860518,Q54860518,convento  di S. Caterina dei Funari,Point(12.478478 41.893785),,,,,,,,,,,,1467354221936,,,,
http://www.wikidata.org/entity/Q54860532,Q54860532,chiesa di San Giovanni della Pigna,Point(12.477978 41.897128),,,,,,,,,,,,1467354668278,,,,
http://www.wikidata.org/entity/Q54860548,Q54860548,chiesa di San Girolamo dei Croati,Point(12.476337 41.90483),,,,,,,,,,,,1467354925026,,,,
http://www.wikidata.org/entity/Q54860564,Q54860564,chiesa della Santissima Trinità degli Spagnoli,Point(12.480901 41.9053),,,,,,,,,,,,1467355493344,,,,
http://www.wikidata.org/entity/Q54860565,Q54860565,chiesa di San Giuseppe a Capo le Case,Point(12.485826 41.906142),,,,,,,,,,,,1467355852535,,,,
http://www.wikidata.org/entity/Q54860574,Q54860574,chiesa dei Santi Vincenzo e Anastasio,Point(12.484143 41.900552),,,,,,,,,,,,1467355963353,,,,
http://www.wikidata.org/entity/Q54860582,Q54860582,convento  dei SS. Biagio e Carlo ai Catinari,Point(12.474986 41.894033),,,,,,,,,,,,1467356034279,,,,
http://www.wikidata.org/entity/Q54860583,Q54860583,chiesa dei Santi Biagio e Carlo ai Catinari,Point(12.474986 41.894033),,,,,,,,,,,,1467356063523,,,,
http://www.wikidata.org/entity/Q54860751,Q54860751,chiesa di Santa Maria in Monterone,Point(12.475686 41.896955),,,,,,,,,,,,1467358652917,,,,
http://www.wikidata.org/entity/Q54860756,Q54860756,chiesa di Santo Stefano del Cacco,Point(12.479163 41.896784),,,,,,,,,,,,1467359937687,,,,
http://www.wikidata.org/entity/Q54860761,Q54860761,chiesa di Sant'Andrea della Valle,Point(12.47468 41.896469),,,,,,,,,,,,1467360338638,,,,
http://www.wikidata.org/entity/Q54860766,Q54860766,chiesa di San Silvestro in Capite,Point(12.480883 41.902499),,,,,,,,,,,,1467360426704,,,,
http://www.wikidata.org/entity/Q54860829,Q54860829,convento  di S. Marcello al Corso,Point(12.481567 41.898799),,,,,,,,,,,,1467362626757,,,,
